"last_name, first_name","player_id","year","pa","home_run","walk","batting_avg","slg_percent","on_base_percent","xba","xslg","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent","hp_to_1b",""
"Polanco, Gregory","570256","2015","652","9","55",".256",".381",".320",".257",".386",".322","89.9","10.4",30.5,4.4,6.3,24.2,2.9,39.8,65.9,29.2,66.1,84.8,19.5,"4.16",
"Arenado, Nolan","571448","2015","665","42","34",".287",".575",".323",".264",".484",".308","90.6","16.3",33.7,8.3,7.9,21.7,1.9,40.2,73.3,35.7,60.9,88.7,21.1,"4.6",
"Holt, Brock","571788","2015","509","2","46",".280",".379",".349",".253",".331",".327","86.6","7.8",31.7,0.6,3.9,27.8,2.5,24.2,56.7,24.8,71.4,90.1,15.1,"4.2",
"Owings, Chris","572008","2015","552","4","26",".227",".322",".264",".227",".325",".266","86.9","14.6",32.8,2.6,3.9,27.8,1.8,24.9,70.4,35.9,51.6,83.2,25.8,"4.23",
"Pollock, AJ","572041","2015","673","20","53",".315",".498",".367",".292",".442",".348","88.9","8.9",31.2,5.7,6.4,26.5,2.6,39.1,63.5,28.9,61.5,91.8,16.7,"4.3",
"Seager, Kyle","572122","2015","686","26","54",".266",".451",".328",".282",".467",".345","89.3","16.8",36.1,7,4.2,27.4,2.3,34.6,62.8,28.4,66.3,89.1,17.6,"4.65",
"Taylor, Michael A.","572191","2015","511","14","35",".229",".358",".282",".232",".382",".288","88.7","9.8",32.8,6.3,5,27.4,1.9,35.6,71.9,32.1,44.5,74.4,33.3,"4.26",
"Carpenter, Matt","572761","2015","665","28","81",".272",".505",".365",".282",".523",".379","88.9","16.9",42.4,9.1,8.2,27.9,2.6,35.8,59.4,20.6,62,83.6,21.5,"4.28",
"Dozier, Brian","572821","2015","704","28","61",".236",".444",".307",".220",".380",".296","87.2","19.1",34.2,5.9,6.4,23,3.7,31.1,62.6,29.1,64.1,82.7,22,"4.38",
"Bryant, Kris","592178","2015","650","26","77",".275",".488",".369",".234",".475",".335","89.7","19.6",33.7,11.5,9.3,22.5,3.8,43.8,73.6,28.7,47.7,72.2,35.6,"4.28",
"Castellanos, Nick","592206","2015","595","15","39",".255",".419",".303",".257",".436",".306","88.3","16.9",37.5,7.7,6.5,29,1.7,34.5,69.6,32.5,50,81.2,29.7,"4.58",
"Machado, Manny","592518","2015","713","35","70",".286",".502",".359",".262",".447",".339","91.4","12.8",29.7,7.6,5.5,23.3,1.5,41.7,63.4,24.8,66.2,88.6,17.5,"4.53",
"Pederson, Joc","592626","2015","585","26","92",".210",".417",".346",".215",".431",".354","91.2","13.8",28.3,11.8,5.7,19.1,2.5,45.2,64.9,24.8,44.6,72.5,35.9,"4.33",
"Simmons, Andrelton","592743","2015","583","4","39",".265",".338",".321",".274",".355",".331","86.4","3.5",27.8,1,3.3,27.1,4.9,29,65.3,25.4,76.5,91.4,11.8,"4.5",
"Yelich, Christian","592885","2015","525","7","47",".300",".416",".366",".296",".435",".363","91.7","0.1",30.1,4.8,5.6,27.5,1.1,45.1,64.8,24.6,58.4,84.5,22.1,"4.28",
"Bogaerts, Xander","593428","2015","654","7","32",".320",".421",".355",".271",".362",".311","88","6.8",28,2.5,2.7,28.4,3.1,33.8,63.5,34,65.5,86.5,20.3,"4.24",
"Calhoun, Kole","594777","2015","686","26","45",".256",".422",".308",".246",".421",".301","86.2","11.6",35.6,6.8,5.5,25,4.9,32.2,71.4,29.6,48.9,82.9,28,"4.53",
